area,bjdongCd,block,bun,crtnDay,etcPurps,exposPubuseGbCd,exposPubuseGbCdNm,flrGbCd,flrGbCdNm,flrNo,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmExposPubuseAreaPk,mgmPmsrgstPk,platGbCd,platPlc,pngtypGbNm,rnum,sigunguCd,splotNm,strctCd,strctCdNm
43.49,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19152,11110-3306,0,서울특별시 종로구 청운동 4-1번지,72.31,1,11110, ,21,철근콘크리트구조
239.03,10100, ,0004,20090326, ,1,전유,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19153,11110-3306,0,서울특별시 종로구 청운동 4-1번지,72.31,2,11110, ,21,철근콘크리트구조
35.84,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19154,11110-3306,0,서울특별시 종로구 청운동 4-1번지,73.21,3,11110, ,21,철근콘크리트구조
242.01,10100, ,0004,20090326, ,1,전유,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19155,11110-3306,0,서울특별시 종로구 청운동 4-1번지,73.21,4,11110, ,21,철근콘크리트구조
36.24,10100, ,0004,20090326, ,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19156,11110-3306,0,서울특별시 종로구 청운동 4-1번지,74.03,5,11110, ,21,철근콘크리트구조
244.72,10100, ,0004,20090326, ,1,전유,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-19157,11110-3306,0,서울특별시 종로구 청운동 4-1번지,74.03,6,11110, ,21,철근콘크리트구조
216.55,10100, ,0004,20090326, ,1,전유,20,지상,0,0003, ,0,주건축물,02002,연립주택,11110-20340,11110-3661,0,서울특별시 종로구 청운동 4-3번지,46.51,7,11110, ,21,철근콘크리트구조
106.34,10100, ,0004,20090326,지하주차장,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20341,11110-3661,0,서울특별시 종로구 청운동 4-3번지,46.51,8,11110, ,21,철근콘크리트구조
30.05,10100, ,0004,20090326,계단실,2,공용,40,각층,0,0003, ,0,주건축물,02005,부대시설,11110-20342,11110-3661,0,서울특별시 종로구 청운동 4-3번지,46.51,9,11110, ,21,철근콘크리트구조
15.18,10100, ,0004,20090326,창고,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20343,11110-3661,0,서울특별시 종로구 청운동 4-3번지,46.51,10,11110, ,21,철근콘크리트구조
2.18,10100, ,0004,20090326,경비실,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20344,11110-3661,0,서울특별시 종로구 청운동 4-3번지,46.51,11,11110, ,21,철근콘크리트구조
216.55,10100, ,0004,20090326, ,1,전유,20,지상,0,0003, ,0,주건축물,02003,다세대주택,11110-20345,11110-3661,0,서울특별시 종로구 청운동 4-3번지,47.00,12,11110, ,21,철근콘크리트구조
106.34,10100, ,0004,20090326,지하주차장,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20346,11110-3661,0,서울특별시 종로구 청운동 4-3번지,47.00,13,11110, ,21,철근콘크리트구조
30.05,10100, ,0004,20090326,계단실,2,공용,40,각층,0,0003, ,0,주건축물,02005,부대시설,11110-20347,11110-3661,0,서울특별시 종로구 청운동 4-3번지,47.00,14,11110, ,21,철근콘크리트구조
16.79,10100, ,0004,20090326,창고,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20348,11110-3661,0,서울특별시 종로구 청운동 4-3번지,47.00,15,11110, ,21,철근콘크리트구조
2.18,10100, ,0004,20090326,경비실,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20349,11110-3661,0,서울특별시 종로구 청운동 4-3번지,47.00,16,11110, ,21,철근콘크리트구조
216.55,10100, ,0004,20090326, ,1,전유,20,지상,3,0003, ,0,주건축물,02002,연립주택,11110-20350,11110-3661,0,서울특별시 종로구 청운동 4-3번지,47.14,17,11110, ,21,철근콘크리트구조
106.34,10100, ,0004,20090326,지하주차장,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20351,11110-3661,0,서울특별시 종로구 청운동 4-3번지,47.14,18,11110, ,21,철근콘크리트구조
30.05,10100, ,0004,20090326,계단실,2,공용,40,각층,0,0003, ,0,주건축물,02005,부대시설,11110-20352,11110-3661,0,서울특별시 종로구 청운동 4-3번지,47.14,19,11110, ,21,철근콘크리트구조
17.25,10100, ,0004,20090326,창고,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20353,11110-3661,0,서울특별시 종로구 청운동 4-3번지,47.14,20,11110, ,21,철근콘크리트구조
2.18,10100, ,0004,20090326,경비실,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20354,11110-3661,0,서울특별시 종로구 청운동 4-3번지,47.14,21,11110, ,21,철근콘크리트구조
244.08,10100, ,0004,20090326, ,1,전유,10,지하,1,0003, ,0,주건축물,02002,연립주택,11110-20355,11110-3661,0,서울특별시 종로구 청운동 4-3번지,53.33,22,11110, ,21,철근콘크리트구조
119.84,10100, ,0004,20090326,지하주차장,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20356,11110-3661,0,서울특별시 종로구 청운동 4-3번지,53.33,23,11110, ,21,철근콘크리트구조
33.85,10100, ,0004,20090326,계단실,2,공용,40,각층,0,0003, ,0,주건축물,02005,부대시설,11110-20357,11110-3661,0,서울특별시 종로구 청운동 4-3번지,53.33,24,11110, ,21,철근콘크리트구조
20.15,10100, ,0004,20090326,창고,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20358,11110-3661,0,서울특별시 종로구 청운동 4-3번지,53.33,25,11110, ,21,철근콘크리트구조
2.46,10100, ,0004,20090326,경비실,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20359,11110-3661,0,서울특별시 종로구 청운동 4-3번지,53.33,26,11110, ,21,철근콘크리트구조
244.08,10100, ,0004,20090326, ,1,전유,10,지하,1,0003, ,0,주건축물,02002,연립주택,11110-20360,11110-3661,0,서울특별시 종로구 청운동 4-3번지,54.17,27,11110, ,21,철근콘크리트구조
119.84,10100, ,0004,20090326,지하주차장,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20361,11110-3661,0,서울특별시 종로구 청운동 4-3번지,54.17,28,11110, ,21,철근콘크리트구조
33.85,10100, ,0004,20090326,계단실,2,공용,40,각층,0,0003, ,0,주건축물,02005,부대시설,11110-20362,11110-3661,0,서울특별시 종로구 청운동 4-3번지,54.17,29,11110, ,21,철근콘크리트구조
22.91,10100, ,0004,20090326,창고,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20363,11110-3661,0,서울특별시 종로구 청운동 4-3번지,54.17,30,11110, ,21,철근콘크리트구조
2.46,10100, ,0004,20090326,경비실,2,공용,10,지하,2,0003, ,0,주건축물,02005,부대시설,11110-20364,11110-3661,0,서울특별시 종로구 청운동 4-3번지,54.17,31,11110, ,21,철근콘크리트구조
36.13,10100, ,0004,20090326,지하주차장,2,공용,00, ,2,0007, ,0,주건축물,02005,부대시설,11110-1441,11110-284,0,서울특별시 종로구 청운동 4-7번지,45,32,11110, ,21,철근콘크리트구조
13.09,10100, ,0004,20090326,계단실,2,공용,10,지하,0,0007, ,0,주건축물,02005,부대시설,11110-1440,11110-284,0,서울특별시 종로구 청운동 4-7번지,45,33,11110, ,21,철근콘크리트구조
1.78,10100, ,0004,20090326,"발전기,경비실",2,공용,00, ,2,0007, ,0,주건축물,02005,부대시설,11110-1442,11110-284,0,서울특별시 종로구 청운동 4-7번지,45,34,11110, ,21,철근콘크리트구조
194.93,10100, ,0004,20090326, ,1,전유, , ,0,0007, ,0,주건축물,02002,연립주택,11110-1449,11110-284,0,서울특별시 종로구 청운동 4-7번지,97,35,11110, ,21,철근콘크리트구조
28.13,10100, ,0004,20090326,계단실,2,공용,10,지하,0,0007, ,0,주건축물,02005,부대시설,11110-1450,11110-284,0,서울특별시 종로구 청운동 4-7번지,97,36,11110, ,21,철근콘크리트구조
77.62,10100, ,0004,20090326,지하주차장,2,공용,00, ,2,0007, ,0,주건축물,02005,부대시설,11110-1451,11110-284,0,서울특별시 종로구 청운동 4-7번지,97,37,11110, ,21,철근콘크리트구조
3.82,10100, ,0004,20090326,"발전기,경비실",2,공용,00, ,2,0007, ,0,주건축물,02005,부대시설,11110-1452,11110-284,0,서울특별시 종로구 청운동 4-7번지,97,38,11110, ,21,철근콘크리트구조
18.29,10100, ,0004,20090326,지하창고,2,공용,00, ,1,0007, ,0,주건축물,02005,부대시설,11110-1453,11110-284,0,서울특별시 종로구 청운동 4-7번지,97,39,11110, ,21,철근콘크리트구조
8.51,10100, ,0004,20090326,지하창고,2,공용,00, ,2,0007, ,0,주건축물,02005,부대시설,11110-1443,11110-284,0,서울특별시 종로구 청운동 4-7번지,45,40,11110, ,21,철근콘크리트구조
118.77,10100, ,0004,20090326, ,1,전유, , ,0,0007, ,0,주건축물,02002,연립주택,11110-1444,11110-284,0,서울특별시 종로구 청운동 4-7번지,59,41,11110, ,21,철근콘크리트구조
17.14,10100, ,0004,20090326,계단실,2,공용,10,지하,0,0007, ,0,주건축물,02005,부대시설,11110-1445,11110-284,0,서울특별시 종로구 청운동 4-7번지,59,42,11110, ,21,철근콘크리트구조
47.3,10100, ,0004,20090326,지하주차장,2,공용,00, ,2,0007, ,0,주건축물,02005,부대시설,11110-1446,11110-284,0,서울특별시 종로구 청운동 4-7번지,59,43,11110, ,21,철근콘크리트구조
2.33,10100, ,0004,20090326,"발전기,경비실",2,공용,00, ,2,0007, , , ,02005,부대시설,11110-1447,11110-284,0,서울특별시 종로구 청운동 4-7번지,59,44,11110, ,21,철근콘크리트구조
11.14,10100, ,0004,20090326,지하창고,2,공용,00, ,1,0007, ,0,주건축물,02005,부대시설,11110-1448,11110-284,0,서울특별시 종로구 청운동 4-7번지,59,45,11110, ,21,철근콘크리트구조
90.72,10100, ,0004,20090326, ,1,전유, , ,0,0007, ,0,주건축물,02002,연립주택,11110-1439,11110-284,0,서울특별시 종로구 청운동 4-7번지,45,46,11110, ,21,철근콘크리트구조
68.36,10100, ,0004,20140711, ,1,전유,10,지하,1,0014, ,0,주건축물,02003,다세대주택,11110-16211,11110-2334,0,서울특별시 종로구 청운동 4-14번지,20.67B,47,11110, ,21,철근콘크리트구조
47.5,10100, ,0004,20140711, ,2,공용,10,지하,48,0014, ,0,주건축물,02003,다세대주택,11110-16212,11110-2334,0,서울특별시 종로구 청운동 4-14번지,20.67B,48,11110, ,21,철근콘크리트구조
78.66,10100, ,0004,20140711, ,1,전유,20,지상,1,0014, ,0,주건축물,02003,다세대주택,11110-16213,11110-2334,0,서울특별시 종로구 청운동 4-14번지,20.67B,49,11110, ,21,철근콘크리트구조
77.43,10100, ,0004,20140711, ,1,전유,20,지상,2,0014, ,0,주건축물,02003,다세대주택,11110-16214,11110-2334,0,서울특별시 종로구 청운동 4-14번지,25.25C,50,11110, ,21,철근콘크리트구조
51.99,10100, ,0004,20140711, ,2,공용,20,지상,2,0014, ,0,주건축물,02003,다세대주택,11110-16215,11110-2334,0,서울특별시 종로구 청운동 4-14번지,25.25C,51,11110, ,21,철근콘크리트구조
83.47,10100, ,0004,20140711, ,1,전유,20,지상,3,0014, ,0,주건축물,02003,다세대주택,11110-16216,11110-2334,0,서울특별시 종로구 청운동 4-14번지,25.25C,52,11110, ,21,철근콘크리트구조
68.36,10100, ,0004,20140711, ,1,전유,21,복수층(하층),0,0014, ,0,주건축물,02003,다세대주택,11110-16217,11110-2334,0,서울특별시 종로구 청운동 4-14번지,44.47A,53,11110, ,21,철근콘크리트구조
78.66,10100, ,0004,20140711, ,1,전유,22,복수층(상층),0,0014, ,0,주건축물,02003,다세대주택,11110-16218,11110-2334,0,서울특별시 종로구 청운동 4-14번지,44.47A,54,11110, ,21,철근콘크리트구조
42.75,10100, ,0004,20140711,주차장,2,공용,10,지하,1,0014, ,0,주건축물,02003,다세대주택,11110-16219,11110-2334,0,서울특별시 종로구 청운동 4-14번지,44.47A,55,11110, ,21,철근콘크리트구조
4.75,10100, ,0004,20140711,계단실,2,공용,40,각층,0,0014, ,0,주건축물,02003,다세대주택,11110-16220,11110-2334,0,서울특별시 종로구 청운동 4-14번지,44.47A,56,11110, ,21,철근콘크리트구조
68.36,10100, ,0004,20140711, ,1,전유,21,복수층(하층),0,0014, ,0,주건축물,02003,다세대주택,11110-16221,11110-2334,0,서울특별시 종로구 청운동 4-14번지,44.47B,57,11110, ,21,철근콘크리트구조
78.66,10100, ,0004,20140711, ,1,전유,22,복수층(상층),0,0014, ,0,주건축물,02003,다세대주택,11110-16222,11110-2334,0,서울특별시 종로구 청운동 4-14번지,44.47B,58,11110, ,21,철근콘크리트구조
42.75,10100, ,0004,20140711,주차장,2,공용,10,지하,1,0014, ,0,주건축물,02003,다세대주택,11110-16223,11110-2334,0,서울특별시 종로구 청운동 4-14번지,44.47B,59,11110, ,21,철근콘크리트구조
4.75,10100, ,0004,20140711,계단실,2,공용,40,각층,0,0014, ,0,주건축물,02003,다세대주택,11110-16224,11110-2334,0,서울특별시 종로구 청운동 4-14번지,44.47B,60,11110, ,21,철근콘크리트구조
76.78,10100, ,0004,20140711, ,1,전유,21,복수층(하층),0,0014, ,0,주건축물,02003,다세대주택,11110-16225,11110-2334,0,서울특별시 종로구 청운동 4-14번지,48.47D,61,11110, ,21,철근콘크리트구조
83.47,10100, ,0004,20140711, ,1,전유,22,복수층(상층),0,0014, ,0,주건축물,02003,다세대주택,11110-16226,11110-2334,0,서울특별시 종로구 청운동 4-14번지,48.47D,62,11110, ,21,철근콘크리트구조
46.6,10100, ,0004,20140711,주차장,2,공용,10,지하,1,0014, ,0,주건축물,02003,다세대주택,11110-16227,11110-2334,0,서울특별시 종로구 청운동 4-14번지,48.47D,63,11110, ,21,철근콘크리트구조
5.18,10100, ,0004,20140711,계단실,2,공용,40,각층,0,0014, ,0,주건축물,02003,다세대주택,11110-16228,11110-2334,0,서울특별시 종로구 청운동 4-14번지,48.47D,64,11110, ,21,철근콘크리트구조
77.43,10100, ,0004,20140711, ,1,전유,21,복수층(하층),0,0014, ,0,주건축물,02003,다세대주택,11110-16229,11110-2334,0,서울특별시 종로구 청운동 4-14번지,48.67C,65,11110, ,21,철근콘크리트구조
83.47,10100, ,0004,20140711, ,1,전유,22,복수층(상층),0,0014, ,0,주건축물,02003,다세대주택,11110-16230,11110-2334,0,서울특별시 종로구 청운동 4-14번지,48.67C,66,11110, ,21,철근콘크리트구조
46.79,10100, ,0004,20140711,주차장,2,공용,10,지하,1,0014, ,0,주건축물,02003,다세대주택,11110-16231,11110-2334,0,서울특별시 종로구 청운동 4-14번지,48.67C,67,11110, ,21,철근콘크리트구조
5.2,10100, ,0004,20140711,계단실,2,공용,40,각층,0,0014, ,0,주건축물,02003,다세대주택,11110-16232,11110-2334,0,서울특별시 종로구 청운동 4-14번지,48.67C,68,11110, ,21,철근콘크리트구조
84.69,10100, ,0008,20170307, ,1,전유,20,지상,1,0004, ,0,주건축물,04402,사무소,11110-20410,11110-3771,0,서울특별시 종로구 청운동 8-4번지,63B,69,11110, ,21,철근콘크리트구조
125.19,10100, ,0008,20170307, ,1,전유,20,지상,2,0004, ,0,주건축물,04402,사무소,11110-20411,11110-3771,0,서울특별시 종로구 청운동 8-4번지,63B,70,11110, ,21,철근콘크리트구조
5.28,10100, ,0008,20170307,지하보일러실,2,공용,10,지하,0,0004, ,0,주건축물,04402,사무소,11110-20412,11110-3771,0,서울특별시 종로구 청운동 8-4번지,63B,71,11110, ,21,철근콘크리트구조
14.52,10100, ,0008,20170307,(지하대피소),2,공용,10,지하,1,0004, ,0,주건축물,04402,사무소,11110-20413,11110-3771,0,서울특별시 종로구 청운동 8-4번지,63B,72,11110, ,21,철근콘크리트구조
2,10100, ,0008,20170307,계단,2,공용,10,지하,0,0004, ,0,주건축물,04402,사무소,11110-20414,11110-3771,0,서울특별시 종로구 청운동 8-4번지,63B,73,11110, ,21,철근콘크리트구조
13.48,10100, ,0008,20170307,계단,2,공용,40,각층,0,0004, ,0,주건축물,04402,사무소,11110-20415,11110-3771,0,서울특별시 종로구 청운동 8-4번지,63B,74,11110, ,21,철근콘크리트구조
0.64,10100, ,0008,20170307,수위실,2,공용,20,지상,1,0004, ,1,부속건축물,04402,사무소,11110-20416,11110-3771,0,서울특별시 종로구 청운동 8-4번지,63B,75,11110, ,11,벽돌구조
89.1,10100, ,0008,20170307, ,1,전유,20,지상,1,0004, ,0,주건축물,04402,사무소,11110-20417,11110-3771,0,서울특별시 종로구 청운동 8-4번지,66A,76,11110, ,21,철근콘크리트구조
129.69,10100, ,0008,20170307, ,1,전유,20,지상,2,0004, ,0,주건축물,04402,사무소,11110-20418,11110-3771,0,서울특별시 종로구 청운동 8-4번지,66A,77,11110, ,21,철근콘크리트구조
5.28,10100, ,0008,20170307,지하보일러실,2,공용,10,지하,0,0004, ,0,주건축물,04402,사무소,11110-20419,11110-3771,0,서울특별시 종로구 청운동 8-4번지,66A,78,11110, ,21,철근콘크리트구조
15.02,10100, ,0008,20170307,지하대피소,2,공용,10,지하,0,0004, ,0,주건축물,04402,사무소,11110-20420,11110-3771,0,서울특별시 종로구 청운동 8-4번지,66A,79,11110, ,21,철근콘크리트구조
2.2,10100, ,0008,20170307,계단,2,공용,10,지하,0,0004, ,0,주건축물,04402,사무소,11110-20421,11110-3771,0,서울특별시 종로구 청운동 8-4번지,66A,80,11110, ,21,철근콘크리트구조
14.05,10100, ,0008,20170307,계단,2,공용,40,각층,0,0004, ,0,주건축물,04402,사무소,11110-20422,11110-3771,0,서울특별시 종로구 청운동 8-4번지,66A,81,11110, ,21,철근콘크리트구조
0.64,10100, ,0008,20170307,수위실,2,공용,20,지상,1,0004, ,1,부속건축물,04402,사무소,11110-20423,11110-3771,0,서울특별시 종로구 청운동 8-4번지,66A,82,11110, ,11,벽돌구조
5.28,10100, ,0008,20170307,지하보일러실,2,공용,10,지하,1,0004, ,0,주건축물,04402,사무소,11110-20424,11110-3771,0,서울특별시 종로구 청운동 8-4번지,A,83,11110, ,21,철근콘크리트구조
129.89,10100, ,0008,20170307, ,1,전유,20,지상,2,0004, ,0,주건축물,04402,사무소,11110-20425,11110-3771,0,서울특별시 종로구 청운동 8-4번지,A,84,11110, ,21,철근콘크리트구조
15.02,10100, ,0008,20170307,지하대피소,2,공용,10,지하,0,0004, ,0,주건축물,04402,사무소,11110-20426,11110-3771,0,서울특별시 종로구 청운동 8-4번지,A,85,11110, ,21,철근콘크리트구조
89.1,10100, ,0008,20170307, ,1,전유,20,지상,1,0004, ,0,주건축물,04402,사무소,11110-20427,11110-3771,0,서울특별시 종로구 청운동 8-4번지,A,86,11110, ,21,철근콘크리트구조
2.2,10100, ,0008,20170307,(계단),2,공용,10,지하,0,0004, ,0,주건축물,04402,사무소,11110-20428,11110-3771,0,서울특별시 종로구 청운동 8-4번지,A,87,11110, ,21,철근콘크리트구조
14.05,10100, ,0008,20170307,계단,2,공용,40,각층,0,0004, ,0,주건축물,04402,사무소,11110-20429,11110-3771,0,서울특별시 종로구 청운동 8-4번지,A,88,11110, ,21,철근콘크리트구조
0.64,10100, ,0008,20170307,수위실,2,공용,20,지상,0,0004, ,1,부속건축물,04402,사무소,11110-20430,11110-3771,0,서울특별시 종로구 청운동 8-4번지,A,89,11110, ,11,벽돌구조
265.72,10100, ,0015,20130618,1세대,1,전유,21,복수층(하층),0,0000, ,0,주건축물,02002,연립주택,11110-13437,11110-1864,0,서울특별시 종로구 청운동 15번지,127.1,90,11110, ,21,철근콘크리트구조
33.96,10100, ,0015,20130618,계단실,2,공용,40,각층,0,0000, ,0,주건축물,02002,연립주택,11110-13438,11110-1864,0,서울특별시 종로구 청운동 15번지,127.1,91,11110, ,21,철근콘크리트구조
112.16,10100, ,0015,20130618,주차장,2,공용,10,지하,1,0000, ,0,주건축물,02002,연립주택,11110-13439,11110-1864,0,서울특별시 종로구 청운동 15번지,127.1,92,11110, ,21,철근콘크리트구조
8.29,10100, ,0015,20130618,경비실,2,공용,10,지하,1,0000, ,0,주건축물,02002,연립주택,11110-13440,11110-1864,0,서울특별시 종로구 청운동 15번지,127.1,93,11110, ,21,철근콘크리트구조
266.17,10100, ,0015,20130618,1세대,1,전유,21,복수층(하층),0,0000, ,0,주건축물,02002,연립주택,11110-13441,11110-1864,0,서울특별시 종로구 청운동 15번지,128.8,94,11110, ,21,철근콘크리트구조
33.96,10100, ,0015,20130618,계단실,2,공용,40,각층,0,0000, ,0,주건축물,02002,연립주택,11110-13442,11110-1864,0,서울특별시 종로구 청운동 15번지,128.8,95,11110, ,21,철근콘크리트구조
111.03,10100, ,0015,20130618,주차장,2,공용,10,지하,1,0000, ,0,주건축물,02002,연립주택,11110-13443,11110-1864,0,서울특별시 종로구 청운동 15번지,128.8,96,11110, ,21,철근콘크리트구조
8.29,10100, ,0015,20130618,경비실,2,공용,10,지하,1,0000, ,0,주건축물,02002,연립주택,11110-13444,11110-1864,0,서울특별시 종로구 청운동 15번지,128.8,97,11110, ,21,철근콘크리트구조
221.49,10100, ,0015,20130618,1세대,1,전유,20,지상,0,0000, ,0,주건축물,02002,연립주택,11110-13429,11110-1864,0,서울특별시 종로구 청운동 15번지,105.6,98,11110, ,21,철근콘크리트구조
28.26,10100, ,0015,20130618,계단실,2,공용,40,각층,0,0000, ,0,주건축물,02002,연립주택,11110-13430,11110-1864,0,서울특별시 종로구 청운동 15번지,105.6,99,11110, ,21,철근콘크리트구조
92.38,10100, ,0015,20130618,주차장,2,공용,10,지하,1,0000, ,0,주건축물,02002,연립주택,11110-13431,11110-1864,0,서울특별시 종로구 청운동 15번지,105.6,100,11110, ,21,철근콘크리트구조
6.9,10100, ,0015,20130618,경비실,2,공용,10,지하,1,0000, ,0,주건축물,02002,연립주택,11110-13432,11110-1864,0,서울특별시 종로구 청운동 15번지,105.6,101,11110, ,21,철근콘크리트구조
221.04,10100, ,0015,20130618,1세대,1,전유,20,지상,0,0000, ,0,주건축물,02002,연립주택,11110-13433,11110-1864,0,서울특별시 종로구 청운동 15번지,105.7,102,11110, ,21,철근콘크리트구조
28.26,10100, ,0015,20130618,계단실,2,공용,40,각층,0,0000, ,0,주건축물,02002,연립주택,11110-13434,11110-1864,0,서울특별시 종로구 청운동 15번지,105.7,103,11110, ,21,철근콘크리트구조
93.3,10100, ,0015,20130618,주차장,2,공용,10,지하,1,0000, ,0,주건축물,02002,연립주택,11110-13435,11110-1864,0,서울특별시 종로구 청운동 15번지,105.7,104,11110, ,21,철근콘크리트구조
8.29,10100, ,0015,20130618,경비실,2,공용,10,지하,1,0000, ,0,주건축물,02002,연립주택,11110-13436,11110-1864,0,서울특별시 종로구 청운동 15번지,105.7,105,11110, ,21,철근콘크리트구조
153.57,10100, ,0015,20130618, ,1,전유,20,지상,0,0007, ,0,주건축물,02003,다세대주택,11110-9681,11110-1561,0,서울특별시 종로구 청운동 15-7번지,56,106,11110, ,21,철근콘크리트구조
153.57,10100, ,0015,20130618, ,1,전유,20,지상,0,0007, ,0,주건축물,02003,다세대주택,11110-9682,11110-1561,0,서울특별시 종로구 청운동 15-7번지,58,107,11110, ,21,철근콘크리트구조
153.57,10100, ,0015,20130618, ,1,전유,20,지상,0,0007, ,0,주건축물,02003,다세대주택,11110-9683,11110-1561,0,서울특별시 종로구 청운동 15-7번지,64,108,11110, ,21,철근콘크리트구조
149.7,10100, ,0030,20140711, ,1,전유,20,지상,3,0001, ,0,주건축물,02002,연립주택,11110-17032,11110-2469,0,서울특별시 종로구 청운동 30-1번지,63.52,109,11110, ,21,철근콘크리트구조
48.22,10100, ,0030,20140711,주차장,2,공용,10,지하,2,0001, ,0,주건축물,02002,연립주택,11110-17033,11110-2469,0,서울특별시 종로구 청운동 30-1번지,63.52,110,11110, ,21,철근콘크리트구조
10.4,10100, ,0030,20140711,계단실,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-17034,11110-2469,0,서울특별시 종로구 청운동 30-1번지,63.52,111,11110, ,21,철근콘크리트구조
2.87,10100, ,0030,20140711,ELEV,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-17035,11110-2469,0,서울특별시 종로구 청운동 30-1번지,63.52,112,11110, ,21,철근콘크리트구조
151.8,10100, ,0030,20140711, ,1,전유,20,지상,0,0001, ,0,주건축물,02002,연립주택,11110-17036,11110-2469,0,서울특별시 종로구 청운동 30-1번지,64.41,113,11110, ,21,철근콘크리트구조
48.93,10100, ,0030,20140711,주차장,2,공용,10,지하,2,0001, ,0,주건축물,02002,연립주택,11110-17037,11110-2469,0,서울특별시 종로구 청운동 30-1번지,64.41,114,11110, ,21,철근콘크리트구조
10.51,10100, ,0030,20140711,계단실,2,공용,40,각층,0,0001, ,0,주건축물,02002,연립주택,11110-17038,11110-2469,0,서울특별시 종로구 청운동 30-1번지,64.41,115,11110, ,21,철근콘크리트구조
