bjdongCd,block,bun,capaLube,capaPsper,crtnDay,ji,lot,mainDongGbCd,mainDongGbCdNm,mgmPmsrgstPk,platGbCd,platPlc,reprYn,rnum,sigunguCd,splotNm,wclfModeCd,wclfModeCdNm
10100,57,0057,0,20,20130618,0064,64,0,전체,11110-1006,0,서울특별시 종로구 청운동 57-64번지,1,96,11110,서울시 종로구 청운동,201,부패탱크방법
10100, ,0057,0,30,20150109,0064, ,0,전체,11110-100021666,0,서울특별시 종로구 청운동 57-64번지,1,97,11110, ,201,부패탱크방법
10100, ,0060,4,30,20090326,0000, ,0,전체,11110-100005957,0,서울특별시 종로구 청운동 60번지,1,98,11110, ,201,부패탱크방법
10100, ,0063,0,60,20190329,0000, ,0,전체,11110-100034531,0,서울특별시 종로구 청운동 63번지,1,99,11110, ,201,부패탱크방법
10100, ,0065,0,60,20180616,0000, ,0,전체,11110-100030046,0,서울특별시 종로구 청운동 65번지,1,100,11110, ,201,부패탱크방법
10100, ,0065,0,50,20190112,0000, ,0,전체,11110-100030967,0,서울특별시 종로구 청운동 65번지,1,101,11110, ,201,부패탱크방법
10100, ,0069,0,0,20090326,0000, ,0,전체,11110-2051,0,서울특별시 종로구 청운동 69번지,1,102,11110, ,201,부패탱크방법
10100, ,0071,0,20,20130221,0002, ,0,전체,11110-810,0,서울특별시 종로구 청운동 71-2번지,1,103,11110, ,201,부패탱크방법
10100, ,0079,3.5,15,20090326,0002, ,0,전체,11110-1790,0,서울특별시 종로구 청운동 79-2번지,1,104,11110, ,201,부패탱크방법
10100, ,0079,0,15,20170112,0002, ,0,전체,11110-100027082,0,서울특별시 종로구 청운동 79-2번지,1,105,11110, ,201,부패탱크방법
10100, ,0081,7.28,30,20180531,0001, ,0,전체,11110-100027370,0,서울특별시 종로구 청운동 81-1번지,1,106,11110, ,201,부패탱크방법
10100, ,0089,0,50,20160805,0002, ,0,전체,11110-100025951,0,서울특별시 종로구 청운동 89-2번지,1,107,11110, ,201,부패탱크방법
10100, ,0089,0,90,20090326,0005, ,0,전체,11110-1530,0,서울특별시 종로구 청운동 89-5번지,1,108,11110, ,201,부패탱크방법
10100, ,0089,0,20,20150310,0012, ,0,전체,11110-100022249,0,서울특별시 종로구 청운동 89-12번지,1,109,11110, ,299,기타단독정화조
10100, ,0089,0,30,20090326,0017, ,0,전체,11110-799,0,서울특별시 종로구 청운동 89-17번지,1,110,11110, ,201,부패탱크방법
10100, ,0089,0,320,20090326,0020, ,0,전체,11110-2536,0,서울특별시 종로구 청운동 89-20번지,1,111,11110, ,201,부패탱크방법
10100, ,0089,0,25,20090326,0021, ,0,전체,11110-1614,0,서울특별시 종로구 청운동 89-21번지,1,112,11110, ,201,부패탱크방법
10100, ,0089,0,40,20090326,0022, ,0,전체,11110-947,0,서울특별시 종로구 청운동 89-22번지,1,113,11110, ,201,부패탱크방법
10100, ,0089,0,30,20090326,0023, ,0,전체,11110-491,0,서울특별시 종로구 청운동 89-23번지,1,114,11110, ,201,부패탱크방법
10100, ,0089,0,30,20090326,0108, ,0,전체,11110-2061,0,서울특별시 종로구 청운동 89-108번지,1,115,11110, ,201,부패탱크방법
10100, ,0089,0,30,20170727,0109, ,0,전체,11110-100026815,0,서울특별시 종로구 청운동 89-109번지,1,116,11110, ,201,부패탱크방법
10100, ,0089,0,30,20171118,0109, ,0,전체,11110-100018883,0,서울특별시 종로구 청운동 89-109번지,1,117,11110, ,201,부패탱크방법
10100, ,0089,0,5,20121219,0112, ,0,전체,11110-100014909,0,서울특별시 종로구 청운동 89-112번지,1,118,11110, ,201,부패탱크방법
10100, ,0091,0,20,20090326,0000, ,0,전체,11110-3893,0,서울특별시 종로구 청운동 91번지,1,119,11110, ,204,접촉폭기방법
10100, ,0091,0,20,20090326,0000, ,0,전체,11110-659,0,서울특별시 종로구 청운동 91번지,1,120,11110, ,201,부패탱크방법
10100, ,0094,0,40,20090326,0002, ,0,전체,11110-100007115,0,서울특별시 종로구 청운동 94-2번지,1,121,11110, ,201,부패탱크방법
10100, ,0095,0,20,20170715,0000, ,0,전체,11110-100028424,0,서울특별시 종로구 청운동 95번지,1,122,11110, ,201,부패탱크방법
10100,100,0100,0,10,20090326,0000,0,0,전체,11110-1234,0,서울특별시 종로구 청운동 100번지,1,123,11110,서울특별시 종로구 청운동,201,부패탱크방법
10100, ,0107,0,20,20180608,0000, ,0,전체,11110-2326,0,서울특별시 종로구 청운동 107번지,1,124,11110, ,201,부패탱크방법
10100, ,0108,0,35,20100604,0001, ,0,전체,11110-455,0,서울특별시 종로구 청운동 108-1번지,1,125,11110, ,201,부패탱크방법
10100, ,0108,0,35,20171118,0008, ,0,전체,11110-100019273,0,서울특별시 종로구 청운동 108-8번지,1,126,11110, ,201,부패탱크방법
10100, ,0108,0,60,20180426,0008, ,0,전체,11110-100027924,0,서울특별시 종로구 청운동 108-8번지,1,127,11110, ,201,부패탱크방법
10100,108,0108,4,35,20100604,0014,14,0,전체,11110-441,0,서울특별시 종로구 청운동 108-14번지,1,128,11110, ,201,부패탱크방법
10100, ,0111,0,30,20090326,0001, ,0,전체,11110-3646,0,서울특별시 종로구 청운동 111-1번지,1,129,11110, ,201,부패탱크방법
10100, ,0113,0,70,20120215,0003, ,0,전체,11110-2432,0,서울특별시 종로구 청운동 113-3번지,1,130,11110, ,201,부패탱크방법
10100, ,0113,0,70,20170106,0003, ,0,전체,11110-100027038,0,서울특별시 종로구 청운동 113-3번지,1,131,11110, ,201,부패탱크방법
10100, ,0114,0,50,20090326,0001, ,0,전체,11110-2393,0,서울특별시 종로구 청운동 114-1번지,1,132,11110, ,201,부패탱크방법
10100, ,0115,0,65,20090326,0001, ,0,전체,11110-3138,0,서울특별시 종로구 청운동 115-1번지,1,133,11110, ,201,부패탱크방법
10100, ,0117,0,10,20190227,0001, ,0,전체,11110-100029242,0,서울특별시 종로구 청운동 117-1번지,1,134,11110, ,201,부패탱크방법
10100, ,0117,0,20,20150207,0002, ,0,전체,11110-100012332,0,서울특별시 종로구 청운동 117-2번지,1,135,11110, ,201,부패탱크방법
10100, ,0140,0,15,20090326,0001, ,0,전체,11110-3750,0,서울특별시 종로구 청운동 140-1번지,1,136,11110, ,201,부패탱크방법
10100, ,0001,3,0,20160428,0001, ,0,전체,11110-100024421,1,서울특별시 종로구 청운동 산 1-1번지,1,137,11110, ,199,기타오수처리시설
10100, ,0001,0,100,20111129,0077, ,0,전체,11110-100014870,1,서울특별시 종로구 청운동 산 1-77번지,1,138,11110, ,201,부패탱크방법
10200, ,0001,0,15,20100317,0026, ,0,전체,11110-2994,0,서울특별시 종로구 신교동 1-26번지,1,1,11110, ,201,부패탱크방법
10200, ,0001,0,20,20120605,0027, ,0,전체,11110-100010119,0,서울특별시 종로구 신교동 1-27번지,1,2,11110, ,201,부패탱크방법
10200, ,0002,0,30,20131126,0007, ,0,전체,11110-291,0,서울특별시 종로구 신교동 2-7번지,1,3,11110, ,201,부패탱크방법
10200, ,0002,3,15,20100605,0048, ,0,전체,11110-100011103,0,서울특별시 종로구 신교동 2-48번지,1,4,11110, ,201,부패탱크방법
10200, ,0002,0,5,20120929,0051, ,0,전체,11110-100015118,0,서울특별시 종로구 신교동 2-51번지,1,5,11110, ,201,부패탱크방법
10200, ,0002,0,5,20130220,0062, ,0,전체,11110-100015739,0,서울특별시 종로구 신교동 2-62번지,1,6,11110, ,201,부패탱크방법
10200, ,0002,0,100,20090326,0084, ,0,전체,11110-2851,0,서울특별시 종로구 신교동 2-84번지,1,7,11110, ,201,부패탱크방법
10200, ,0002,0,5,20141219,0116, ,0,전체,11110-100008092,0,서울특별시 종로구 신교동 2-116번지,1,8,11110, ,201,부패탱크방법
10200, ,0002,0,5,20111014,0118, ,0,전체,11110-100013761,0,서울특별시 종로구 신교동 2-118번지,1,9,11110, ,201,부패탱크방법
10200, ,0002,0,5,20141230,0121, ,0,전체,11110-100021575,0,서울특별시 종로구 신교동 2-121번지,1,10,11110, ,201,부패탱크방법
10200, ,0004,0,40,20111231,0002, ,0,전체,11110-100013895,0,서울특별시 종로구 신교동 4-2번지,1,11,11110, ,201,부패탱크방법
10200, ,0006,0,10,20111229,0002, ,0,전체,11110-100014456,0,서울특별시 종로구 신교동 6-2번지,1,12,11110, ,201,부패탱크방법
10200, ,0006,0,25,20140411,0004, ,0,전체,11110-4434,0,서울특별시 종로구 신교동 6-4번지,1,13,11110, ,201,부패탱크방법
10200, ,0006,0,25,20170112,0004, ,0,전체,11110-100027098,0,서울특별시 종로구 신교동 6-4번지,1,14,11110, ,201,부패탱크방법
10200, ,0006,0,30,20150107,0006, ,0,전체,11110-100017446,0,서울특별시 종로구 신교동 6-6번지,1,15,11110, ,201,부패탱크방법
10200, ,0006,0,50,20090326,0011, ,0,전체,11110-825,0,서울특별시 종로구 신교동 6-11번지,1,16,11110, ,201,부패탱크방법
10200, ,0006,0,50,20090326,0013, ,0,전체,11110-931,0,서울특별시 종로구 신교동 6-13번지,1,17,11110, ,201,부패탱크방법
10200,6,0006,7.5,150,20131126,0017,17,0,전체,11110-321,0,서울특별시 종로구 신교동 6-17번지,1,18,11110,서울특별시 종로구 신교동,201,부패탱크방법
10200, ,0006,0,30,20140724,0025, ,0,전체,11110-100012519,0,서울특별시 종로구 신교동 6-25번지,1,19,11110, ,201,부패탱크방법
10200, ,0006,0,40,20090326,0046, ,0,전체,11110-1626,0,서울특별시 종로구 신교동 6-46번지,1,20,11110, ,201,부패탱크방법
10200, ,0006,0,5,20150107,0047, ,0,전체,11110-100021632,0,서울특별시 종로구 신교동 6-47번지,1,21,11110, , , 
10200, ,0006,0,25,20090326,0049, ,0,전체,11110-139,0,서울특별시 종로구 신교동 6-49번지,1,22,11110, ,117,접촉폭기방법
10200, ,0006,0,20,20090326,0049, ,0,전체,11110-1444,0,서울특별시 종로구 신교동 6-49번지,1,23,11110, ,201,부패탱크방법
10200, ,0006,0,40,20131010,0053, ,0,전체,11110-1541,0,서울특별시 종로구 신교동 6-53번지,1,24,11110, ,201,부패탱크방법
10200, ,0006,1.8,15,20150331,0080, ,0,전체,11110-100020854,0,서울특별시 종로구 신교동 6-80번지,1,25,11110, ,201,부패탱크방법
10200,12,0012,0,30,20131126,0000, ,0,전체,11110-265,0,서울특별시 종로구 신교동 12번지,1,26,11110,서울특별시 종로구 신교동,201,부패탱크방법
10200, ,0017,0,20,20130618,0006, ,0,전체,11110-166,0,서울특별시 종로구 신교동 17-6번지,1,27,11110, ,201,부패탱크방법
10200, ,0017,0,0,20140905,0006, ,0,전체,11110-100020680,0,서울특별시 종로구 신교동 17-6번지,1,28,11110, ,201,부패탱크방법
10200, ,0017,0,25,20090326,0009, ,0,전체,11110-4615,0,서울특별시 종로구 신교동 17-9번지,1,29,11110, ,299,기타단독정화조
10200, ,0017,0,25,20130618,0009, ,0,전체,11110-145,0,서울특별시 종로구 신교동 17-9번지,1,30,11110, ,204,접촉폭기방법
10200, ,0017,8,40,20170524,0010, ,0,전체,11110-100026235,0,서울특별시 종로구 신교동 17-10번지,1,31,11110, ,201,부패탱크방법
10200, ,0017,0,25,20110723,0021, ,0,전체,11110-4627,0,서울특별시 종로구 신교동 17-21번지,1,32,11110, ,201,부패탱크방법
10200, ,0017,0,25,20110723,0021, ,0,전체,11110-4777,0,서울특별시 종로구 신교동 17-21번지,1,33,11110, ,201,부패탱크방법
10200,17,0017,0,25,20100112,0031,31,0,전체,11110-142,0,서울특별시 종로구 신교동 17-31번지,1,34,11110,서울특별시 종로구 신교동,201,부패탱크방법
10200, ,0017,0,25,20110813,0031, ,0,전체,11110-100011095,0,서울특별시 종로구 신교동 17-31번지,1,35,11110, ,299,기타단독정화조
10200, ,0017,0,20,20100827,0044, ,0,전체,11110-141,0,서울특별시 종로구 신교동 17-44번지,1,36,11110, ,201,부패탱크방법
10200, ,0017,0,15,20090326,0046, ,0,전체,11110-3238,0,서울특별시 종로구 신교동 17-46번지,1,37,11110, ,201,부패탱크방법
10200, ,0039,0,10,20090326,0002, ,0,전체,11110-349,0,서울특별시 종로구 신교동 39-2번지,1,38,11110, ,204,접촉폭기방법
10200, ,0039,0,10,20090326,0002, ,0,전체,11110-405,0,서울특별시 종로구 신교동 39-2번지,1,39,11110, ,204,접촉폭기방법
10200, ,0039,0,10,20110723,0002, ,0,전체,11110-4048,0,서울특별시 종로구 신교동 39-2번지,1,40,11110, ,204,접촉폭기방법
10200, ,0039,0,10,20171118,0002, ,0,전체,11110-100017643,0,서울특별시 종로구 신교동 39-2번지,1,41,11110, ,117,접촉폭기방법
10200, ,0045,0,30,20131205,0000, ,0,전체,11110-100017032,0,서울특별시 종로구 신교동 45번지,1,42,11110, ,201,부패탱크방법
10200, ,0051,0,20,20150814,0001, ,0,전체,11110-100023387,0,서울특별시 종로구 신교동 51-1번지,1,43,11110, ,201,부패탱크방법
10200, ,0058,0,70,20100414,0001, ,0,전체,11110-100005657,0,서울특별시 종로구 신교동 58-1번지,1,44,11110, ,201,부패탱크방법
10200, ,0058,0,70,20100908,0001, ,0,전체,11110-100011109,0,서울특별시 종로구 신교동 58-1번지,1,45,11110, ,201,부패탱크방법
10200, ,0059,0,400,20120831,0000, ,0,전체,11110-100016304,0,서울특별시 종로구 신교동 59번지,1,46,11110, ,201,부패탱크방법
10200, ,0059,0,400,20130417,0000, ,0,전체,11110-100017374,0,서울특별시 종로구 신교동 59번지,1,47,11110, ,201,부패탱크방법
10200, ,0066,42.825,700,20120929,0000, ,0,전체,11110-100014228,0,서울특별시 종로구 신교동 66번지,1,48,11110, ,201,부패탱크방법
10200, ,0070,0,40,20131126,0001, ,0,전체,11110-550,0,서울특별시 종로구 신교동 70-1번지,1,49,11110, ,201,부패탱크방법
10200, ,0070,0,100,20090326,0010, ,0,전체,11110-3709,0,서울특별시 종로구 신교동 70-10번지,1,50,11110, ,201,부패탱크방법
10200, ,0070,0,95,20090326,0010, ,0,전체,11110-3716,0,서울특별시 종로구 신교동 70-10번지,1,51,11110, ,201,부패탱크방법
10200, ,0076,0,20,20170517,0000, ,0,전체,11110-100026683,0,서울특별시 종로구 신교동 76번지,1,52,11110, ,201,부패탱크방법
10200, ,0077,0,20,20170708,0002, ,0,전체,11110-100026918,0,서울특별시 종로구 신교동 77-2번지,1,53,11110, ,201,부패탱크방법
10200, ,0079,0,10,20090326,0000, ,0,전체,11110-2555,0,서울특별시 종로구 신교동 79번지,1,54,11110, ,201,부패탱크방법
10200, ,0082,0,15,20090326,0003, ,0,전체,11110-1960,0,서울특별시 종로구 신교동 82-3번지,1,55,11110, ,201,부패탱크방법
