번호,접속 사이트,제공항목(데이터셋),폴더명,작업자,시작일,종료일,검토자,진행상태,비고,획득방식,제공방식,원본제공처,비고0,비고2_comment,자료명,서비스명,사이트,서비스키헤더,서비스키명,서비스키,파라미터,제공방식,데이터타입,참고문서,참고문서타입,주기,비고_파라미터설명,완료여부,API PGM ID,파일명
110,국가통계포털,주요지역별 매매수급동향,110_주요지역별 매매수급동향,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10110.py,TB_OD10110_yyyymm.csv
111,국가통계포털,주요지역별 월세수급동향,111_주요지역별 월세수급동향,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10111.py,TB_OD10111_yyyymm.csv
112,국가통계포털,주요지역별 전세수급동향,112_주요지역별 전세수급동향,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10112.py,TB_OD10112_yyyymm.csv
113,국가통계포털,지역별 전월세전환율,113_지역별 전월세전환율,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10113.py,TB_OD10113_yyyymm.csv
114,국가통계포털,유형별 주택매매가격지수(2011.6=100),114_유형별 주택매매가격지수(2011.6=100),,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10114.py,TB_OD10114_yyyymm.csv
115,국가통계포털,유형별 주택전세가격지수(2011.6=100),115_유형별 주택전세가격지수(2011.6=100),,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10115.py,TB_OD10115_yyyymm.csv
116,국가통계포털,"규모별 매매가격지수(전국, 유형별)(2011.6=100)","116_규모별 매매가격지수(전국, 유형별)(2011.6=100)",,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10116.py,TB_OD10116_yyyymm.csv
117,국가통계포털,"주요 지역 규모별 매매가격종합지수(종합, 아파트)(2011.6=100)","117_주요 지역 규모별 매매가격종합지수(종합, 아파트)(2011.6=100)",,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10117.py,TB_OD10117_yyyymm.csv
118,국가통계포털,"규모별 전세가격지수(전국, 유형별) (2011.6=100)","118_규모별 전세가격지수(전국, 유형별) (2011.6=100)",,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10118.py,TB_OD10118_yyyymm.csv
119,국가통계포털,"주요 지역 규모별 전세가격종합지수(종합, 아파트) (2011.6=100)","119_주요 지역 규모별 전세가격종합지수(종합, 아파트) (2011.6=100)",,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10119.py,TB_OD10119_yyyymm.csv
120,국가통계포털,주요지역별 월세이율,120_주요지역별 월세이율,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10120.py,TB_OD10120_yyyymm.csv
121,국가통계포털,주택임대차계약 구성분포,121_주택임대차계약 구성분포,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10121.py,TB_OD10121_yyyymm.csv
122,국가통계포털,주요지역별 매수우위지수,122_주요지역별 매수우위지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10122.py,TB_OD10122_yyyymm.csv
123,국가통계포털,주요지역별 매매거래지수,123_주요지역별 매매거래지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10123.py,TB_OD10123_yyyymm.csv
124,국가통계포털,주요지역별 전세수급지수,124_주요지역별 전세수급지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10124.py,TB_OD10124_yyyymm.csv
125,국가통계포털,주요지역별 전세거래지수,125_주요지역별 전세거래지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10125.py,TB_OD10125_yyyymm.csv
126,국가통계포털,APT 매매가격 대비 전세가격 비,126_APT 매매가격 대비 전세가격 비,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10126.py,TB_OD10126_yyyymm.csv
127,국가통계포털,단독 매매가격 대비 전세가격 비,127_단독 매매가격 대비 전세가격 비,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10127.py,TB_OD10127_yyyymm.csv
128,국가통계포털,연립 매매가격 대비 전세가격 비,128_연립 매매가격 대비 전세가격 비,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10128.py,TB_OD10128_yyyymm.csv
129,국가통계포털,종합 매매가격 대비 전세가격 비,129_종합 매매가격 대비 전세가격 비,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10129.py,TB_OD10129_yyyymm.csv
130,국가통계포털,(일반가구)지역별 소득계층별 점유형태,130_(일반가구)지역별 소득계층별 점유형태,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10130.py,TB_OD10130_yyyymm.csv
131,국가통계포털,(일반가구)지역별 소득계층별 주택유형,131_(일반가구)지역별 소득계층별 주택유형,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10131.py,TB_OD10131_yyyymm.csv
132,국가통계포털,(일반가구)행정구역별 점유형태,132_(일반가구)행정구역별 점유형태,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10132.py,TB_OD10132_yyyymm.csv
133,국가통계포털,(일반가구)행정구역별 주택유형,133_(일반가구)행정구역별 주택유형,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10133.py,TB_OD10133_yyyymm.csv
134,국가통계포털,부문별 주택건설 인허가실적,134_부문별 주택건설 인허가실적,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10134.py,TB_OD10134_yyyymm.csv
135,국가통계포털,부문별 주택건설 인허가실적(월별_누계),135_부문별 주택건설 인허가실적(월별_누계),,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10135.py,TB_OD10135_yyyymm.csv
136,국가통계포털,주택유형별 건설실적_다가구 구분,136_주택유형별 건설실적_다가구 구분,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10136.py,TB_OD10136_yyyymm.csv
137,국가통계포털,주택유형별 건설실적_다가구 구분(월별_누계),137_주택유형별 건설실적_다가구 구분(월별_누계),,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10137.py,TB_OD10137_yyyymm.csv
138,국가통계포털,주택건설실적총괄,138_주택건설실적총괄,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10138.py,TB_OD10138_yyyymm.csv
139,국가통계포털,주택규모별 주택건설 인허가실적,139_주택규모별 주택건설 인허가실적,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10139.py,TB_OD10139_yyyymm.csv
140,국가통계포털,주택규모별 주택건설 인허가실적(월별_누계),140_주택규모별 주택건설 인허가실적(월별_누계),,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10140.py,TB_OD10140_yyyymm.csv
141,국가통계포털,지역별 주택건설 인허가실적,141_지역별 주택건설 인허가실적,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10141.py,TB_OD10141_yyyymm.csv
142,국가통계포털,전용면적별사용검사실적_월계,142_전용면적별사용검사실적_월계,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10142.py,TB_OD10142_yyyymm.csv
143,국가통계포털,주택사용검사실적_월계,143_주택사용검사실적_월계,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10143.py,TB_OD10143_yyyymm.csv
144,국가통계포털,"주택유형별사용검사실적_다가구 구분,월계","144_주택유형별사용검사실적_다가구 구분,월계",,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10144.py,TB_OD10144_yyyymm.csv
145,국가통계포털,주택착공실적_월계,145_주택착공실적_월계,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10145.py,TB_OD10145_yyyymm.csv
146,국가통계포털,전용면적별 착공실적_월계,146_전용면적별 착공실적_월계,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10146.py,TB_OD10146_yyyymm.csv
147,국가통계포털,"주택유형별 착공실적_다가구 구분,월계","147_주택유형별 착공실적_다가구 구분,월계",,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10147.py,TB_OD10147_yyyymm.csv
148,국가통계포털,주택분양보증현황,148_주택분양보증현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10148.py,TB_OD10148_yyyymm.csv
149,국가통계포털,국민주택채권발행현황,149_국민주택채권발행현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10149.py,TB_OD10149_yyyymm.csv
150,국가통계포털,주택도시기금 대출실적,150_주택도시기금 대출실적,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10150.py,TB_OD10150_yyyymm.csv
151,국가통계포털,주택도시기금 운용현황,151_주택도시기금 운용현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10151.py,TB_OD10151_yyyymm.csv
152,국가통계포털,주택도시기금 조성현황,152_주택도시기금 조성현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10152.py,TB_OD10152_yyyymm.csv
153,국가통계포털,인구천인당 주택수,153_인구천인당 주택수,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10153.py,TB_OD10153_yyyymm.csv
154,국가통계포털,(新)주택보급률,154_(新)주택보급률,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10154.py,TB_OD10154_yyyymm.csv
155,국가통계포털,(종전)주택보급률,155_(종전)주택보급률,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10155.py,TB_OD10155_yyyymm.csv
156,국가통계포털,주택 멸실현황,156_주택 멸실현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10156.py,TB_OD10156_yyyymm.csv
157,국가통계포털,주택소재지별 주택수 현황(개인단위),157_주택소재지별 주택수 현황(개인단위),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10157.py,TB_OD10157_yyyy.csv
158,국가통계포털,주택소유자수별 주택수 현황(단독 및 공동 소유),158_주택소유자수별 주택수 현황(단독 및 공동 소유),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10158.py,TB_OD10158_yyyymm.csv
159,국가통계포털,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),159_주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10159.py,TB_OD10159_yyyymm.csv
160,국가통계포털,거주지역별 성별 연령대별 주택소유자수 현황,160_거주지역별 성별 연령대별 주택소유자수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10160.py,TB_OD10160_yyyy.csv
161,국가통계포털,거주지역별 주택 소유물건수별 주택소유자수 현황,161_거주지역별 주택 소유물건수별 주택소유자수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10161.py,TB_OD10161_yyyymm.csv
162,국가통계포털,거주지역별 주택소유지분별 주택소유자수 현황,162_거주지역별 주택소유지분별 주택소유자수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10162.py,TB_OD10162_yyyymm.csv
163,국가통계포털,주택면적별 연령대별 주택소유자수 현황,163_주택면적별 연령대별 주택소유자수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10163.py,TB_OD10163_yyyymm.csv
164,국가통계포털,주택자산가액별 연령대별 주택소유자수 현황,164_주택자산가액별 연령대별 주택소유자수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10164.py,TB_OD10164_yyyy.csv
165,국가통계포털,거주지역별 주택소유자별 주택수 현황,165_거주지역별 주택소유자별 주택수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10165.py,TB_OD10165_yyyy.csv
166,국가통계포털,주택소재지기준 소유자 거주지역 비율 현황,166_주택소재지기준 소유자 거주지역 비율 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10166.py,TB_OD10166_yyyymm.csv
167,국가통계포털,거주지역별 성별 연령대별 아파트소유자수 현황,167_거주지역별 성별 연령대별 아파트소유자수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10167.py,TB_OD10167_yyyy.csv
168,국가통계포털,주택 소유물건수별 성별 아파트소유자수 현황,168_주택 소유물건수별 성별 아파트소유자수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10168.py,TB_OD10168_yyyymm.csv
169,국가통계포털,주택소유지분별 성별 아파트소유자수 현황,169_주택소유지분별 성별 아파트소유자수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10169.py,TB_OD10169_yyyymm.csv
170,국가통계포털,주택소재지별 주택수 현황(가구단위),170_주택소재지별 주택수 현황(가구단위),,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10170.py,TB_OD10170_yyyy.csv
171,국가통계포털,거주지역별 주택소유 및 무주택 가구수 현황,171_거주지역별 주택소유 및 무주택 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10171.py,TB_OD10171_yyyy.csv
172,국가통계포털,거주지역별 가구주의 성별 연령대별 주택소유 가구수 현황,172_거주지역별 가구주의 성별 연령대별 주택소유 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10172.py,TB_OD10172_yyyymm.csv
173,국가통계포털,거주지역별 가구원수별 주택소유 가구수 현황,173_거주지역별 가구원수별 주택소유 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10173.py,TB_OD10173_yyyymm.csv
174,국가통계포털,거주지역별 세대구성별 주택소유 가구수 현황,174_거주지역별 세대구성별 주택소유 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10174.py,TB_OD10174_yyyymm.csv
175,국가통계포털,주택소유물건수별 주택소유 가구수 현황,175_주택소유물건수별 주택소유 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10175.py,TB_OD10175_yyyymm.csv
176,국가통계포털,거주지역별 주택소유물건수별 주택소유 가구수 현황,176_거주지역별 주택소유물건수별 주택소유 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10176.py,TB_OD10176_yyyymm.csv
177,국가통계포털,주택소유지분별 주택소유 가구수 현황,177_주택소유지분별 주택소유 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10177.py,TB_OD10177_yyyymm.csv
178,국가통계포털,거주지역별 주택소유지분별 주택소유 가구수 현황,178_거주지역별 주택소유지분별 주택소유 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10178.py,TB_OD10178_yyyymm.csv
179,국가통계포털,거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,179_거주지역별 주택자산가액별 주택소유 가구수 및 주택수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10179.py,TB_OD10179_yyyy.csv
180,국가통계포털,주택자산가액기준 10분위기준 주택소유가구 기본현황,180_주택자산가액기준 10분위기준 주택소유가구 기본현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10180.py,TB_OD10180_yyyy.csv
181,국가통계포털,주택자산가액기준 10분위기준 거주지역별 주택소유 가구수 비율,181_주택자산가액기준 10분위기준 거주지역별 주택소유 가구수 비율,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10181.py,TB_OD10181_yyyy.csv
182,국가통계포털,주택자산가액기준 10분위기준 가구주의 성별 주택소유 가구수 비율,182_주택자산가액기준 10분위기준 가구주의 성별 주택소유 가구수 비율,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10182.py,TB_OD10182_yyyy.csv
183,국가통계포털,주택자산가액기준 10분위기준 가구주의 연령대별 주택소유 가구수 비율,183_주택자산가액기준 10분위기준 가구주의 연령대별 주택소유 가구수 비율,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10183.py,TB_OD10183_yyyy.csv
184,국가통계포털,거주지역별 가구주의 성별 연령대별 아파트소유 가구수 현황,184_거주지역별 가구주의 성별 연령대별 아파트소유 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10184.py,TB_OD10184_yyyymm.csv
185,국가통계포털,거주지역별 가구원수별 아파트소유 가구수 현황,185_거주지역별 가구원수별 아파트소유 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10185.py,TB_OD10185_yyyymm.csv
186,국가통계포털,거주지역별 세대구성별 아파트소유 가구수 현황,186_거주지역별 세대구성별 아파트소유 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10186.py,TB_OD10186_yyyymm.csv
187,국가통계포털,거주지역별 가구주의 성별 연령대별 무주택 가구수 현황,187_거주지역별 가구주의 성별 연령대별 무주택 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10187.py,TB_OD10187_yyyymm.csv
188,국가통계포털,거주지역별 가구원수별 무주택 가구수 현황,188_거주지역별 가구원수별 무주택 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10188.py,TB_OD10188_yyyymm.csv
189,국가통계포털,거주지역별 세대구성별 무주택 가구수 현황,189_거주지역별 세대구성별 무주택 가구수 현황,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10189.py,TB_OD10189_yyyymm.csv
190,국가통계포털,"주택의 종류별 주택-읍면동(2015), 시군구(2016~)","190_주택의 종류별 주택-읍면동(2015), 시군구(2016~)",,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10190.py,TB_OD10190_yyyy.csv
191,국가통계포털,"거처의 종류 및 거처, 가구, 가구원-시군구","191_거처의 종류 및 거처, 가구, 가구원-시군구",,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10191.py,TB_OD10191_yyyymm.csv
192,국가통계포털,"주택의 종류, 연면적 및 거주인수별 주택-시군구","192_주택의 종류, 연면적 및 거주인수별 주택-시군구",,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10192.py,TB_OD10192_yyyy.csv
193,국가통계포털,"주택의 종류, 연면적 및 거주인수별 주택-시군구","193_주택의 종류, 연면적 및 거주인수별 주택-시군구",,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,"192 중복, 20190419 삭제",TB_OD10193.py,TB_OD10193_yyyymm.csv
194,국가통계포털,연면적 및 거주가구수별 단독주택-시군구,194_연면적 및 거주가구수별 단독주택-시군구,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10194.py,TB_OD10194_yyyymm.csv
195,국가통계포털,연면적 및 거주가구수별 단독주택-시군구,195_연면적 및 거주가구수별 단독주택-시군구,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10195.py,TB_OD10195_yyyymm.csv
196,국가통계포털,연면적 및 대지면적별 단독주택-시도,196_연면적 및 대지면적별 단독주택-시도,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10196.py,TB_OD10196_yyyymm.csv
197,국가통계포털,빈집의 종류 및 건축연도별 주택-시군구,197_빈집의 종류 및 건축연도별 주택-시군구,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10197.py,TB_OD10197_yyyy.csv
198,국가통계포털,"주택의 종류, 연면적 및 건축연도별 주택-시군구","198_주택의 종류, 연면적 및 건축연도별 주택-시군구",,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10198.py,TB_OD10198_yyyy.csv
199,국가통계포털,주택의 종류별/총방수별 주택-시군구,199_주택의 종류별_총방수별 주택-시군구,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10199.py,TB_OD10199_yyyymm.csv
200,국가통계포털,주택의 종류별/연면적별/총방수별 주택-시군구,200_주택의 종류별_연면적별_총방수별 주택-시군구,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10200.py,TB_OD10200_yyyymm.csv
201,국가통계포털,거주가구수별/총방수별 단독주택-시군구,201_거주가구수별_총방수별 단독주택-시군구,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10201.py,TB_OD10201_yyyymm.csv
202,국가통계포털,연면적별/편익시설수별 단독주택-시군구,202_연면적별_편익시설수별 단독주택-시군구,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10202.py,TB_OD10202_yyyymm.csv
203,국가통계포털,주택종류별/빈집사유별/기간별/파손정도별 빈집-시도,203_주택종류별_빈집사유별_기간별_파손정도별 빈집-시도,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10203.py,TB_OD10203_yyyy.csv
204,국가통계포털,주택의 종류별 주택수,204_주택의 종류별 주택수,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10204.py,TB_OD10204_yyyy.csv
205,국가통계포털,주택의 종류별 주택-읍면동,205_주택의 종류별 주택-읍면동,,,,,,,,API or DATA,통계청,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10205.py,TB_OD10205_yyyy.csv
