,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
0,00,전국,Whole country,주택소재지별,00,총계,동일지역여부별,14963975,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
1,00,전국,Whole country,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,11387684,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
2,00,전국,Whole country,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,1560956,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
3,00,전국,Whole country,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,2015335,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
4,11,서울특별시,Seoul,주택소재지별,00,총계,동일지역여부별,2552576,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
5,11,서울특별시,Seoul,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,1825422,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
6,11,서울특별시,Seoul,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,351998,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
7,11,서울특별시,Seoul,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,375156,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
8,21,부산광역시,Busan,주택소재지별,00,총계,동일지역여부별,1090217,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
9,21,부산광역시,Busan,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,832553,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
10,21,부산광역시,Busan,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,157426,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
11,21,부산광역시,Busan,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,100238,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
12,22,대구광역시,Daegu,주택소재지별,00,총계,동일지역여부별,704573,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
13,22,대구광역시,Daegu,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,555225,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
14,22,대구광역시,Daegu,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,77901,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
15,22,대구광역시,Daegu,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,71447,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
16,23,인천광역시,Incheon,주택소재지별,00,총계,동일지역여부별,880133,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
17,23,인천광역시,Incheon,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,642606,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
18,23,인천광역시,Incheon,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,88227,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
19,23,인천광역시,Incheon,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,149300,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
20,24,광주광역시,Gwangju,주택소재지별,00,총계,동일지역여부별,433969,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
21,24,광주광역시,Gwangju,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,336636,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
22,24,광주광역시,Gwangju,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,41425,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
23,24,광주광역시,Gwangju,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,55908,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
24,25,대전광역시,Daejeon,주택소재지별,00,총계,동일지역여부별,421521,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
25,25,대전광역시,Daejeon,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,320404,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
26,25,대전광역시,Daejeon,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,41269,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
27,25,대전광역시,Daejeon,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,59848,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
28,26,울산광역시,Ulsan,주택소재지별,00,총계,동일지역여부별,339953,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
29,26,울산광역시,Ulsan,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,282703,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
30,26,울산광역시,Ulsan,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,32783,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
31,26,울산광역시,Ulsan,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,24467,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
32,29,세종특별자치시,Sejong,주택소재지별,00,총계,동일지역여부별,85985,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
33,29,세종특별자치시,Sejong,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,53846,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
34,29,세종특별자치시,Sejong,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,-,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
35,29,세종특별자치시,Sejong,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,32139,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
36,31,경기도,Gyeonggi-do,주택소재지별,00,총계,동일지역여부별,3430434,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
37,31,경기도,Gyeonggi-do,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,2540955,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
38,31,경기도,Gyeonggi-do,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,414048,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
39,31,경기도,Gyeonggi-do,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,475431,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
40,32,강원도,Gangwon-do,주택소재지별,00,총계,동일지역여부별,489130,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
41,32,강원도,Gangwon-do,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,386976,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
42,32,강원도,Gangwon-do,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,25091,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
43,32,강원도,Gangwon-do,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,77063,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
44,33,충청북도,Chungcheongbuk-do,주택소재지별,00,총계,동일지역여부별,498845,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
45,33,충청북도,Chungcheongbuk-do,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,384431,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
46,33,충청북도,Chungcheongbuk-do,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,45939,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
47,33,충청북도,Chungcheongbuk-do,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,68475,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
48,34,충청남도,Chungcheongnam-do,주택소재지별,00,총계,동일지역여부별,686088,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
49,34,충청남도,Chungcheongnam-do,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,519315,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
50,34,충청남도,Chungcheongnam-do,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,43929,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
51,34,충청남도,Chungcheongnam-do,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,122844,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
52,35,전라북도,Jeollabuk-do,주택소재지별,00,총계,동일지역여부별,587158,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
53,35,전라북도,Jeollabuk-do,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,474847,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
54,35,전라북도,Jeollabuk-do,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,53614,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
55,35,전라북도,Jeollabuk-do,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,58697,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
56,36,전라남도,Jeollanam-do,주택소재지별,00,총계,동일지역여부별,605836,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
57,36,전라남도,Jeollanam-do,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,482164,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
58,36,전라남도,Jeollanam-do,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,33184,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
59,36,전라남도,Jeollanam-do,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,90488,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
60,37,경상북도,Gyeongsangbuk-do,주택소재지별,00,총계,동일지역여부별,895071,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
61,37,경상북도,Gyeongsangbuk-do,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,717350,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
62,37,경상북도,Gyeongsangbuk-do,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,51726,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
63,37,경상북도,Gyeongsangbuk-do,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,125995,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
64,38,경상남도,Gyeongsangnam-do,주택소재지별,00,총계,동일지역여부별,1070083,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
65,38,경상남도,Gyeongsangnam-do,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,870265,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
66,38,경상남도,Gyeongsangnam-do,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,93099,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
67,38,경상남도,Gyeongsangnam-do,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,106719,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
68,39,제주특별자치도,Jeju,주택소재지별,00,총계,동일지역여부별,192403,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
69,39,제주특별자치도,Jeju,주택소재지별,01,동일시군구 거주자 소유주택,동일지역여부별,161986,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
70,39,제주특별자치도,Jeju,주택소재지별,02,동일시도내 타시군구 거주자 소유주택,동일지역여부별,9297,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
71,39,제주특별자치도,Jeju,주택소재지별,03,타시도 거주자 소유주택,동일지역여부별,21120,T001,주택수,101,2017,A,DT_1OH0503,주택소재지별 소유자의 거주지역별 주택수 현황(관내인 및 외지인 소유),호,Households
